date,gilt,bund,ust
2025-05-02,4.488552042522899,2.48,4.33
2025-05-06,4.5213936332828935,2.56,4.3
2025-05-07,4.459731416655472,2.54,4.26
2025-05-08,4.522832775675511,2.52,4.37
2025-05-09,4.5615241290098405,2.6,4.37
2025-05-12,4.635531234664786,2.65,4.45
2025-05-13,4.653616070326347,2.7,4.49
2025-05-14,4.7162270506104,2.7,4.53
2025-05-15,4.671492124245317,2.7,4.45
2025-05-16,4.6471360932568135,2.6,4.43
2025-05-19,4.664950044076813,2.67,4.46
2025-05-20,4.7064644852692,2.58,4.48
2025-05-21,4.762341337781045,2.68,4.58
2025-05-22,4.774352972677474,2.67,4.54
2025-05-23,4.717407374393163,2.65,4.51
2025-05-27,4.691885504243747,2.55,4.43
2025-05-28,4.727539311157357,2.58,4.47
2025-05-29,4.666075226198552,2.59,4.43
2025-05-30,4.671180218083259,2.55,4.41
2025-06-02,4.663264640224137,2.57,4.46
2025-06-03,4.627371779009701,2.52,4.46
2025-06-04,4.6287893406521,2.55,4.37
2025-06-05,4.630996857341399,2.51,4.4
2025-06-06,4.646965630319886,2.57,4.51
2025-06-09,4.648310873887858,2.55,4.49
2025-06-10,4.559055361600732,2.57,4.47
2025-06-11,4.5673898767118315,2.57,4.41
2025-06-12,4.49662977070792,2.53,4.36
2025-06-13,4.559594280330762,2.52,4.41
2025-06-16,4.541755580295886,2.59,4.46
2025-06-17,4.549679149696629,2.57,4.39
2025-06-18,4.51029869311802,2.57,4.38
2025-06-20,4.547522435180895,2.55,4.38
2025-06-23,4.50146038677688,2.57,4.34
2025-06-24,4.464849199129984,2.58,4.3
2025-06-25,4.495710217687297,2.57,4.29
2025-06-26,4.486434236043797,2.58,4.26
2025-06-27,4.522896031000096,2.6,4.29
2025-06-30,4.513921282380313,2.6,4.24
2025-07-01,4.457871267261915,2.58,4.26
2025-07-02,4.612200656558351,2.62,4.3
2025-07-03,4.568078854230343,2.62,4.35
2025-07-07,4.600579211108627,2.61,4.4
2025-07-08,4.655302673438704,2.69,4.42
2025-07-09,4.6291717785621564,2.67,4.34
2025-07-10,4.623913897701281,2.67,4.35
2025-07-11,4.6539428725042535,2.72,4.43
2025-07-14,4.635126963407671,2.71,4.43
2025-07-15,4.667695097884725,2.68,4.5
2025-07-16,4.672844115433437,2.71,4.46
2025-07-17,4.679465743976921,2.69,4.47
2025-07-18,4.716676298859992,2.7,4.44
2025-07-21,4.643617407896537,2.65,4.38
2025-07-22,4.605065657819708,2.64,4.35
2025-07-23,4.6497608368222085,2.63,4.4
2025-07-24,4.667145768704087,2.67,4.43
2025-07-25,4.676874194245992,2.76,4.4
2025-07-28,4.681571388072941,2.7,4.42
2025-07-29,4.64860348180722,2.71,4.34
2025-07-30,4.630670734756831,2.7,4.38
2025-07-31,4.60229942595057,2.7,4.37
2025-08-01,4.572742230445991,2.72,4.23
2025-08-04,4.54581979579382,2.7,4.22
